danceability,energy,valence,tempo,loudness,acousticness,speechiness,instrumentalness,mood
0.92,0.547,0.606,138.05,-4.98,0.0241,0.272,1.45e-06,Calm
0.793,0.395,0.128,76.984,-5.578,0.277,0.385,1.4e-05,Sad
0.867,0.774,0.549,130.007,-5.791,0.11,0.315,0.0,Energetic
0.578,0.449,0.1,136.006,-6.349,0.0618,0.286,2.17e-06,Sad
0.529,0.673,0.366,165.921,-4.711,0.000307,0.175,2.41e-06,Calm
0.729,0.73,0.41,156.953,-5.14,0.00165,0.261,4.33e-05,Calm
0.964,0.487,0.108,127.05,-6.071,0.00127,0.421,6.07e-06,Sad
0.841,0.732,0.576,149.012,-5.186,0.0115,0.19,2.18e-05,Calm
0.711,0.611,0.144,134.093,-5.453,0.00588,0.33,0.0,Calm
0.847,0.733,0.202,130.029,-6.439,0.00574,0.16,1.04e-05,Calm
0.846,0.48,0.419,143.029,-8.618,0.269,0.359,0.0,Calm
0.88,0.575,0.671,120.031,-6.091,0.415,0.163,0.0,Calm
0.477,0.727,0.227,150.062,-4.053,0.000866,0.286,0.0,Calm
0.853,0.495,0.0774,137.027,-14.63,0.0917,0.14,0.000217,Sad
0.833,0.434,0.281,150.062,-8.795,0.0102,0.431,0.0219,Sad
0.856,0.564,0.483,77.972,-6.295,0.00327,0.392,0.0,Calm
0.79,0.67,0.408,139.956,-5.527,0.377,0.105,2.32e-06,Calm
0.825,0.733,0.62,97.974,-5.625,0.349,0.0969,0.0,Calm
0.574,0.567,0.526,75.965,-7.126,0.164,0.465,0.0,Calm
0.833,0.434,0.281,150.062,-8.795,0.0102,0.431,0.0219,Sad
0.583,0.665,0.463,94.329,-3.885,0.314,0.18,0.0,Calm
0.963,0.346,0.562,119.957,-9.309,0.0355,0.53,0.0,Calm
0.797,0.577,0.17,148.107,-5.617,0.0174,0.195,0.0,Calm
0.88,0.59,0.723,119.97,-4.709,0.08,0.204,0.0,Calm
0.807,0.631,0.126,129.902,-4.883,0.407,0.111,0.0,Calm
0.772,0.413,0.211,131.964,-8.194,0.0361,0.0891,0.0,Sad
0.513,0.822,0.768,165.946,-4.51,0.14,0.383,0.0,Happy
0.926,0.666,0.168,127.079,-5.314,0.0611,0.244,0.0,Calm
0.713,0.575,0.189,145.95,-6.706,0.00669,0.0501,0.0,Calm
0.808,0.586,0.568,124.041,-7.242,0.641,0.169,0.0,Calm
0.814,0.676,0.312,162.012,-4.67,0.00709,0.231,1.28e-05,Calm
0.616,0.928,0.23,109.966,-2.34,0.0168,0.043,0.0,Energetic
0.926,0.542,0.564,135.14,-5.064,0.135,0.293,0.0,Calm
0.851,0.637,0.616,135.055,-6.149,0.225,0.104,0.0,Calm
0.76,0.718,0.557,128.14,-3.017,0.348,0.232,0.0,Calm
0.752,0.748,0.497,115.01,-3.755,0.289,0.0895,0.0,Calm
0.689,0.536,0.349,119.967,-8.861,0.25,0.174,0.0,Calm
0.566,0.531,0.367,118.96,-6.635,0.192,0.0716,0.0,Calm
0.883,0.657,0.284,124.992,-5.748,0.0603,0.305,0.0,Calm
0.753,0.88,0.582,92.055,-3.165,0.455,0.081,0.0,Energetic
0.889,0.496,0.544,86.003,-6.365,0.259,0.0905,0.0,Calm
0.712,0.708,0.634,96.914,-5.715,0.404,0.247,0.0,Calm
0.744,0.696,0.406,120.146,-5.015,0.71,0.117,0.0,Calm
0.523,0.629,0.209,140.101,-4.058,0.156,0.0549,0.0,Calm
0.697,0.735,0.403,99.827,-4.16,0.172,0.0497,0.0,Calm
0.607,0.671,0.316,147.037,-6.934,0.403,0.0863,1.31e-06,Calm
0.784,0.486,0.0894,110.964,-6.497,0.0538,0.0475,0.497,Sad
0.709,0.583,0.533,116.624,-5.298,0.138,0.204,2.97e-06,Calm
0.69,0.385,0.19,129.958,-8.444,0.181,0.0817,0.0,Sad
0.722,0.411,0.503,172.445,-9.963,0.509,0.387,0.0,Calm
0.93,0.484,0.747,133.03,-5.486,0.355,0.259,6.84e-05,Calm
0.883,0.6,0.691,113.903,-7.188,0.114,0.37,7.94e-06,Calm
0.834,0.73,0.446,155.008,-3.714,0.00513,0.222,0.0,Calm
0.573,0.668,0.145,87.973,-4.356,0.189,0.0467,4.01e-05,Calm
0.735,0.603,0.429,135.993,-9.474,0.226,0.203,3.56e-05,Calm
0.567,0.637,0.882,171.264,-4.032,0.499,0.298,0.0346,Happy
0.774,0.874,0.927,118.079,-5.641,0.142,0.0488,0.34,Happy
0.749,0.792,0.903,113.981,-4.621,0.308,0.0402,1.63e-05,Happy
0.455,0.812,0.823,100.049,-3.455,0.372,0.211,0.0,Happy
0.737,0.648,0.746,93.2,-5.493,0.252,0.138,6.92e-06,Happy
0.683,0.814,0.758,93.482,-3.505,0.277,0.0466,0.00826,Happy
0.501,0.683,0.623,145.379,-7.881,0.109,0.211,9.25e-05,Calm
0.502,0.634,0.645,101.837,-3.367,0.677,0.144,0.0341,Calm
0.694,0.651,0.471,112.648,-6.968,0.496,0.0784,1.36e-05,Calm
0.805,0.581,0.528,99.973,-5.091,0.0303,0.0601,0.0202,Calm
0.833,0.563,0.343,105.008,-5.593,0.528,0.204,1.27e-05,Calm
0.779,0.737,0.445,101.923,-4.667,0.134,0.109,0.0,Calm
0.863,0.662,0.307,95.999,-5.855,0.0843,0.21,8.45e-06,Calm
0.69,0.482,0.356,100.029,-6.335,0.523,0.2,0.0004,Sad
0.924,0.668,0.787,128.027,-6.795,0.446,0.0469,0.000594,Happy
0.816,0.762,0.782,90.025,-2.864,0.534,0.0565,0.000404,Happy
0.848,0.718,0.564,105.002,-4.385,0.183,0.0557,1.9e-05,Calm
0.848,0.712,0.692,91.98,-3.574,0.221,0.0981,0.0,Calm
0.687,0.627,0.47,155.865,-4.975,0.326,0.181,0.0,Calm
0.753,0.483,0.826,171.831,-6.436,0.0189,0.273,0.0,Calm
0.556,0.724,0.681,101.097,-3.165,0.267,0.119,0.0,Calm
0.776,0.442,0.838,100.021,-8.99,0.319,0.0575,1.31e-05,Calm
0.658,0.614,0.465,119.893,-6.981,0.105,0.0324,2.18e-05,Calm
0.56,0.681,0.388,155.079,-6.304,0.103,0.244,0.0,Calm
0.707,0.719,0.701,104.033,-4.963,0.223,0.0395,2e-06,Happy
0.716,0.536,0.359,97.541,-7.798,0.452,0.0328,0.0,Calm
0.694,0.594,0.672,125.01,-8.39,0.396,0.0366,0.0,Calm
0.841,0.752,0.67,100.076,-4.735,0.167,0.105,0.00046,Energetic
0.744,0.709,0.712,194.055,-5.778,0.0501,0.284,0.0,Happy
0.786,0.707,0.691,82.045,-4.386,0.0399,0.0635,0.0,Calm
0.742,0.832,0.716,98.582,-4.267,0.0857,0.0325,0.0,Happy
0.773,0.616,0.25,104.008,-4.516,0.0565,0.0416,4.24e-05,Calm
0.724,0.689,0.936,120.208,-7.174,0.573,0.0524,6.77e-06,Happy
0.748,0.74,0.618,117.955,-3.643,0.0292,0.0387,0.000109,Calm
0.691,0.856,0.713,136.0,-5.035,0.2,0.0536,5.09e-05,Happy
0.373,0.464,0.301,79.503,-8.606,0.86,0.256,0.0135,Sad
0.705,0.783,0.454,103.001,-4.783,0.138,0.0403,0.0,Energetic
0.706,0.631,0.289,111.93,-5.812,0.656,0.0366,0.0,Calm
0.55,0.445,0.512,156.023,-9.548,0.262,0.0847,0.00318,Calm
0.666,0.764,0.729,148.853,-6.297,0.366,0.116,0.0,Happy
0.459,0.162,0.483,184.784,-11.634,0.929,0.0425,0.0,Calm
0.783,0.834,0.92,139.995,-4.623,0.539,0.029,0.000212,Happy
0.75,0.682,0.618,100.036,-3.825,0.168,0.0945,1.28e-06,Calm
0.734,0.578,0.88,199.997,-4.147,0.155,0.295,0.000242,Calm
0.745,0.513,0.929,109.935,-9.116,0.783,0.087,0.0,Calm
0.747,0.824,0.793,124.997,-4.353,0.184,0.0348,0.0,Happy
0.809,0.787,0.9,165.07,-3.826,0.126,0.125,0.0011,Happy
0.529,0.356,0.659,169.653,-6.612,0.29,0.0569,0.0,Calm
0.763,0.806,0.594,123.009,-4.946,0.0012,0.0532,1.32e-05,Energetic
0.816,0.872,0.94,128.924,-4.27,0.25,0.0442,3.7e-06,Happy
0.662,0.896,0.79,90.622,-5.311,0.318,0.251,0.0,Happy
0.864,0.59,0.579,161.989,-8.768,0.0196,0.499,0.0,Calm
0.72,0.63,0.512,81.009,-5.549,0.615,0.0413,0.0,Calm
0.603,0.573,0.236,82.941,-5.843,0.478,0.0502,0.0,Calm
0.483,0.468,0.319,135.875,-7.642,0.784,0.0341,0.0,Sad
0.562,0.519,0.415,122.925,-8.744,0.557,0.0326,0.000268,Calm
0.534,0.481,0.293,124.914,-9.016,0.697,0.0412,0.0,Sad
0.526,0.866,0.248,140.266,-5.822,0.00287,0.0568,7.78e-05,Energetic
0.562,0.903,0.791,132.009,-4.46,0.000187,0.0296,0.0939,Happy
0.775,0.585,0.518,109.942,-9.516,0.0422,0.0271,0.619,Calm
0.606,0.957,0.603,105.105,-3.404,0.00117,0.0814,0.000295,Energetic
0.438,0.94,0.421,100.99,-3.249,8.74e-05,0.0452,0.0777,Energetic
0.801,0.795,0.754,79.028,-5.115,0.0417,0.0504,0.000113,Happy
0.578,0.509,0.586,119.945,-6.229,0.13,0.0279,0.734,Calm
0.741,0.62,0.934,117.038,-5.505,0.0295,0.0412,0.000809,Happy
0.633,0.643,0.472,103.842,-8.122,0.106,0.0252,0.00831,Calm
0.565,0.593,0.429,120.509,-5.864,0.0288,0.0883,0.0,Calm
0.593,0.749,0.649,164.959,-5.67,0.0113,0.0475,0.106,Calm
0.815,0.518,0.877,151.891,-6.594,0.223,0.0897,0.0,Calm
0.611,0.846,0.751,103.912,-5.9,0.00509,0.0436,0.0,Happy
0.598,0.924,0.611,168.017,-4.974,0.0205,0.0623,0.799,Energetic
0.654,0.828,0.79,112.056,-5.377,0.00146,0.0281,0.000144,Happy
0.621,0.901,0.744,113.967,-5.396,0.17,0.0302,0.0,Happy
0.898,0.509,0.727,119.869,-7.973,0.391,0.062,0.0,Calm
0.438,0.94,0.421,100.99,-3.249,8.74e-05,0.0452,0.0777,Energetic
0.636,0.572,0.66,131.272,-7.797,0.287,0.0913,0.0,Calm
0.66,0.603,0.527,102.99,-7.7,0.00566,0.025,0.0144,Calm
